Customer ID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
0002-ORFBO,1,United States,California,Frazier Park,93225,"34.827662, -118.999073",34.827662,-118.999073
0003-MKNFE,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869
0004-TLHLJ,1,United States,California,Costa Mesa,92627,"33.645672, -117.922613",33.645672,-117.922613
0011-IGKFF,1,United States,California,Martinez,94553,"38.014457, -122.115432",38.014457,-122.115432
0013-EXCHZ,1,United States,California,Camarillo,93010,"34.227846, -119.079903",34.227846,-119.079903
0013-MHZWF,1,United States,California,Midpines,95345,"37.581496, -119.972762",37.581496,-119.972762
0013-SMEOE,1,United States,California,Lompoc,93437,"34.757477, -120.550507",34.757477,-120.550507
0014-BMAQU,1,United States,California,Napa,94558,"38.489789, -122.27011",38.489789,-122.27011
0015-UOCOJ,1,United States,California,Simi Valley,93063,"34.296813, -118.685703",34.296813,-118.685703
0016-QLJIS,1,United States,California,Sheridan,95681,"38.984756, -121.345074",38.984756,-121.345074
0017-DINOC,1,United States,California,Rancho Santa Fe,92091,"32.99356, -117.207121",32.99356,-117.207121
0017-IUDMW,1,United States,California,Sunnyvale,94086,"37.378541, -122.020456",37.378541,-122.020456
0018-NYROU,1,United States,California,Antelope,95843,"38.715498, -121.363411",38.715498,-121.363411
0019-EFAEP,1,United States,California,La Mesa,91942,"32.782501, -117.01611",32.782501,-117.01611
0019-GFNTW,1,United States,California,Los Olivos,93441,"34.70434, -120.02609",34.70434,-120.02609
0020-INWCK,1,United States,California,Woodlake,93286,"36.464635, -119.094348",36.464635,-119.094348
0020-JDNXP,1,United States,California,Point Reyes Station,94956,"38.060264, -122.830646",38.060264,-122.830646
0021-IKXGC,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.119028,-117.166036
0022-TCJCI,1,United States,California,Daly City,94015,"37.680844, -122.48131",37.680844,-122.48131
0023-HGHWL,1,United States,California,Morgan Hill,95037,"37.161544, -121.649371",37.161544,-121.649371
0023-UYUPN,1,United States,California,Ahwahnee,93601,"37.375816, -119.739935",37.375816,-119.739935
0023-XUOPT,1,United States,California,Carnelian Bay,96140,"39.227434, -120.091806",39.227434,-120.091806
0027-KWYKW,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771
0030-FNXPP,1,United States,California,Keeler,93530,"36.560498, -117.962461",36.560498,-117.962461
0031-PVLZI,1,United States,California,Korbel,95550,"40.7666, -123.80458",40.7666,-123.80458
0032-PGELS,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.823091
0036-IHMOT,1,United States,California,Parlier,93648,"36.622237, -119.521126",36.622237,-119.521126
0040-HALCW,1,United States,California,Modesto,95358,"37.612612, -121.108568",37.612612,-121.108568
0042-JVWOJ,1,United States,California,Glen Ellen,95442,"38.368744, -122.522642",38.368744,-122.522642
0042-RLHYP,1,United States,California,Eureka,95503,"40.737431, -124.108897",40.737431,-124.108897
0048-LUMLS,1,United States,California,Moss Beach,94038,"37.515556, -122.502311",37.515556,-122.502311
0048-PIHNL,1,United States,California,Los Angeles,90058,"34.001617, -118.222274",34.001617,-118.222274
0052-DCKON,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237
0052-YNYOT,1,United States,California,Calexico,92231,"32.690654, -115.431225",32.690654,-115.431225
0056-EPFBG,1,United States,California,Redding,96003,"40.677649, -122.29467",40.677649,-122.29467
0057-QBUQH,1,United States,California,San Martin,95046,"37.084697, -121.606417",37.084697,-121.606417
0058-EVZWM,1,United States,California,Stockton,95209,"38.044523, -121.348048",38.044523,-121.348048
0060-FUALY,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783
0064-SUDOG,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141
0064-YIJGF,1,United States,California,Yermo,92398,"35.013299, -116.834092",35.013299,-116.834092
0067-DKWBL,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917
0068-FIGTF,1,United States,California,Fremont,94539,"37.516791, -121.899117",37.516791,-121.899117
0071-NDAFP,1,United States,California,Santa Rosa,95405,"38.439696, -122.668817",38.439696,-122.668817
0074-HDKDG,1,United States,California,San Jose,95126,"37.327069, -121.916819",37.327069,-121.916819
0076-LVEPS,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839
0078-XZMHT,1,United States,California,Visalia,93291,"36.391777, -119.372842",36.391777,-119.372842
0080-EMYVY,1,United States,California,Lodi,95240,"38.123544, -121.159078",38.123544,-121.159078
0080-OROZO,1,United States,California,El Portal,95318,"37.654551, -119.822984",37.654551,-119.822984
0082-LDZUE,1,United States,California,Calistoga,94515,"38.629618, -122.593216",38.629618,-122.593216
0082-OQIQY,1,United States,California,Farmington,95230,"37.956963, -120.863055",37.956963,-120.863055
0083-PIVIK,1,United States,California,Tulelake,96134,"41.813521, -121.492666",41.813521,-121.492666
0089-IIQKO,1,United States,California,Coleville,96107,"38.42528, -119.475741",38.42528,-119.475741
0093-EXYQL,1,United States,California,Ojai,93023,"34.581308, -118.931948",34.581308,-118.931948
0093-XWZFY,1,United States,California,Desert Hot Springs,92241,"33.832799, -116.250973",33.832799,-116.250973
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022
0096-BXERS,1,United States,California,Inverness,94937,"38.099323, -122.945723",38.099323,-122.945723
0096-FCPUF,1,United States,California,Santa Rosa,95404,"38.526941, -122.709096",38.526941,-122.709096
0098-BOWSO,1,United States,California,San Jose,95131,"37.387027, -121.897775",37.387027,-121.897775
0100-DUVFC,1,United States,California,Wilmington,90744,"33.782068, -118.262263",33.782068,-118.262263
0103-CSITQ,1,United States,California,Modesto,95357,"37.670526, -120.877572",37.670526,-120.877572
0104-PPXDV,1,United States,California,San Diego,92113,"32.697098, -117.116587",32.697098,-117.116587
0106-GHRQR,1,United States,California,Rancho Palos Verdes,90275,"33.753146, -118.367459",33.753146,-118.367459
0106-UGRDO,1,United States,California,Kenwood,95452,"38.419525, -122.521585",38.419525,-122.521585
0107-WESLM,1,United States,California,West Point,95255,"38.41935, -120.469545",38.41935,-120.469545
0107-YHINA,1,United States,California,Los Angeles,90062,"34.003553, -118.308933",34.003553,-118.308933
0111-KLBQG,1,United States,California,Morongo Valley,92256,"34.097863, -116.594561",34.097863,-116.594561
0112-QAWRZ,1,United States,California,Palo Verde,92266,"33.3249, -114.758334",33.3249,-114.758334
0112-QWPNC,1,United States,California,Valyermo,93563,"34.39583, -117.734568",34.39583,-117.734568
0114-IGABW,1,United States,California,Cambria,93428,"35.591387, -121.032256",35.591387,-121.032256
0114-PEGZZ,1,United States,California,Round Mountain,96084,"40.923558, -122.059933",40.923558,-122.059933
0114-RSRRW,1,United States,California,Klamath,95548,"41.572813, -124.035011",41.572813,-124.035011
0115-TFERT,1,United States,California,Fresno,93650,"36.841655, -119.797113",36.841655,-119.797113
0117-LFRMW,1,United States,California,Angwin,94508,"38.542448, -122.419923",38.542448,-122.419923
0118-JPNOY,1,United States,California,Le Grand,95333,"37.249377, -120.249581",37.249377,-120.249581
0121-SNYRK,1,United States,California,Redway,95560,"40.142256, -123.852927",40.142256,-123.852927
0122-OAHPZ,1,United States,California,San Diego,92122,"32.85723, -117.209763",32.85723,-117.209774
0123-CRBRT,1,United States,California,Monterey Park,91755,"34.049172, -118.115022",34.049172,-118.115022
0125-LZQXK,1,United States,California,Big Oak Flat,95305,"37.818589, -120.256995",37.818589,-120.256995
0128-MKWSG,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583
0129-KPTWJ,1,United States,California,North Highlands,95660,"38.671295, -121.388251",38.671295,-121.388251
0129-QMPDR,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372
0130-SXOUN,1,United States,California,Glenhaven,95443,"39.045246, -122.743181",39.045246,-122.743181
0133-BMFZO,1,United States,California,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959
0134-XWXCE,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156
0135-NMXAP,1,United States,California,Lodi,95240,"38.123544, -121.159078",38.123544,-121.159078
0136-IFMYD,1,United States,California,Los Angeles,90001,"33.973616, -118.24902",33.973616,-118.24902
0137-OCGAB,1,United States,California,Fairfield,94533,"38.287136, -122.02711",38.287136,-122.02711
0137-UDEUO,1,United States,California,Stockton,95204,"37.974498, -121.319568",37.974498,-121.319568
0139-IVFJG,1,United States,California,Temecula,92592,"33.507255, -117.029473",33.507255,-117.029473
0141-YEAYS,1,United States,California,Fallbrook,92028,"33.362575, -117.299644",33.362575,-117.299644
0142-GVYSN,1,United States,California,Randsburg,93554,"35.405722, -117.773354",35.405722,-117.773354
0147-ESWWR,1,United States,California,Atascadero,93422,"35.453912, -120.69461",35.453912,-120.69461
0148-DCDOS,1,United States,California,Planada,95365,"37.329725, -120.306399",37.329725,-120.306399
0151-ONTOV,1,United States,California,Moorpark,93021,"34.312945, -118.858169",34.312945,-118.858169
0156-FVPTA,1,United States,California,Solvang,93463,"34.624399, -120.137875",34.624399,-120.137875
0164-APGRB,1,United States,California,Calistoga,94515,"38.629618, -122.593216",38.629618,-122.593216
0164-XAIRP,1,United States,California,La Mirada,90638,"33.902045, -118.008961",33.902045,-118.008961
0168-XZKBB,1,United States,California,Boron,93516,"34.95703, -117.73045",34.95703,-117.73045
0174-QRVVY,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.119028,-117.166036
0177-PXBAT,1,United States,California,Desert Center,92239,"33.889605, -115.257009",33.889605,-115.257009
0178-CIIKR,1,United States,California,Crows Landing,95313,"37.435664, -121.049056",37.435664,-121.049056
0178-SZBHO,1,United States,California,Tuolumne,95379,"37.939768, -120.188002",37.939768,-120.188002
0181-RITDD,1,United States,California,San Diego,92120,"32.807867, -117.060993",32.807867,-117.060993
0186-CAERR,1,United States,California,Auburn,95603,"38.912881, -121.082766",38.912881,-121.082766
0187-QSXOE,1,United States,California,Fresno,93725,"36.623632, -119.741322",36.623632,-119.741322
0187-WZNAB,1,United States,California,Del Rey,93616,"36.657462, -119.595293",36.657462,-119.595293
0188-GWFLE,1,United States,California,Redwood City,94065,"37.527497, -122.230941",37.527497,-122.230941
0191-EQUUH,1,United States,California,Landers,92285,"34.341737, -116.539416",34.341737,-116.539416
0191-ZHSKZ,1,United States,California,Hawthorne,90250,"33.914775, -118.348083",33.914775,-118.348083
0193-ESZXP,1,United States,California,Oceano,93445,"35.059695, -120.604741",35.059695,-120.604741
0195-IESCP,1,United States,California,Armona,93202,"36.315979, -119.710852",36.315979,-119.710852
0196-JTUQI,1,United States,California,Clarksburg,95612,"38.384648, -121.578701",38.384648,-121.578701
0196-VULGZ,1,United States,California,Irvine,92620,"33.716136, -117.752574",33.716136,-117.752574
0197-PNKNK,1,United States,California,Scotts Valley,95066,"37.070177, -122.010077",37.070177,-122.010077
0201-MIBOL,1,United States,California,Salida,95368,"37.713152, -121.08739",37.713152,-121.08739
0201-OAMXR,1,United States,California,Mckinleyville,95519,"40.965011, -124.015255",40.965011,-124.015255
0203-HHYIJ,1,United States,California,Atherton,94027,"37.454924, -122.203168",37.454924,-122.203168
0206-OYVOC,1,United States,California,Huntington Beach,92649,"33.721917, -118.043237",33.721917,-118.043237
0206-TBWLC,1,United States,California,Calimesa,92320,"33.982787, -117.057627",33.982787,-117.057627
0207-MDKNV,1,United States,California,Daly City,94014,"37.691561, -122.445202",37.691561,-122.445202
0208-BPQEJ,1,United States,California,Middletown,95461,"38.787446, -122.58675",38.787446,-122.58675
0212-ISBBF,1,United States,California,Berkeley,94705,"37.858898, -122.240512",37.858898,-122.240512
0214-JHPFW,1,United States,California,Lost Hills,93249,"35.637715, -119.893068",35.637715,-119.893068
0215-BQKGS,1,United States,California,Garden Grove,92844,"33.766476, -117.969795",33.766476,-117.969795
0218-QNVAS,1,United States,California,Indio,92203,"33.752938, -116.230055",33.752938,-116.230055
0219-QAERP,1,United States,California,Oxnard,93033,"34.156629, -119.117218",34.156629,-119.117218
0219-YTZUE,1,United States,California,San Diego,92122,"32.85723, -117.209769",32.85723,-117.209774
0220-EBGCE,1,United States,California,Escondido,92027,"33.141265, -116.967221",33.141265,-116.967221
0221-NAUXK,1,United States,California,Moreno Valley,92553,"33.923149, -117.244933",33.923149,-117.244933
0221-WMXNQ,1,United States,California,Chino,91710,"33.990646, -117.663025",33.990646,-117.663025
0222-CNVPT,1,United States,California,Sacramento,95820,"38.53508, -121.444144",38.53508,-121.444144
0224-HJAPT,1,United States,California,San Diego,92117,"32.825086, -117.199424",32.825086,-117.199424
0224-NIJLP,1,United States,California,Turlock,95380,"37.474396, -120.875917",37.474396,-120.875917
0224-RLWWD,1,United States,California,Calexico,92231,"32.690654, -115.431225",32.690654,-115.431225
0225-ZORZP,1,United States,California,Groveland,95321,"37.902968, -119.667544",37.902968,-119.667544
0228-MAUWC,1,United States,California,Los Gatos,95033,"37.160194, -121.945611",37.160194,-121.945611
0229-LFJAF,1,United States,California,Clovis,93611,"36.917652, -119.593757",36.917652,-119.593757
0230-UBYPQ,1,United States,California,Hyampom,96046,"40.648024, -123.465088",40.648024,-123.465088
0230-WEQUW,1,United States,California,Woodland Hills,91364,"34.153733, -118.593408",34.153733,-118.593408
0231-LXVAP,1,United States,California,Temecula,92592,"33.507255, -117.029473",33.507255,-117.029473
0233-FTHAV,1,United States,California,Livingston,95334,"37.361987, -120.748394",37.361987,-120.748394
0234-TEVTT,1,United States,California,Tulare,93274,"36.185471, -119.375243",36.185471,-119.375243
0235-KGSLC,1,United States,California,Buellton,93427,"34.631362, -120.238218",34.631362,-120.238218
0236-HFWSV,1,United States,California,Palmdale,93552,"34.557711, -118.029441",34.557711,-118.029441
0237-YFUTL,1,United States,California,Midway City,92655,"33.744439, -117.98588",33.744439,-117.98588
0238-WHBIQ,1,United States,California,Folsom,95630,"38.672638, -121.147403",38.672638,-121.147403
0239-OXEXL,1,United States,California,Oakland,94619,"37.787186, -122.14633",37.787186,-122.14633
0244-LGNFY,1,United States,California,San Anselmo,94960,"37.99272, -122.575026",37.99272,-122.575026
0247-SLUJI,1,United States,California,Duarte,91010,"34.145695, -117.95982",34.145695,-117.95982
0248-IPDFW,1,United States,California,Lake Elsinore,92530,"33.655421, -117.391751",33.655421,-117.391751
0248-PGHBZ,1,United States,California,San Clemente,92672,"33.429488, -117.609432",33.429488,-117.609432
0253-ZTEOB,1,United States,California,Los Angeles,90004,"34.076259, -118.310715",34.076259,-118.310715
0254-FNMCI,1,United States,California,Downey,90241,"33.940884, -118.128628",33.940884,-118.128628
0254-KCJGT,1,United States,California,Bodega Bay,94923,"38.377165, -123.037957",38.377165,-123.037957
0254-WWRKD,1,United States,California,Challenge,95925,"39.461768, -121.195825",39.461768,-121.195825
0256-LTHVJ,1,United States,California,Ludlow,92338,"34.702766, -116.093376",34.702766,-116.093376
0257-KXZGU,1,United States,California,Santa Clara,95051,"37.348129, -121.98469",37.348129,-121.98469
0257-ZESQC,1,United States,California,Perris,92571,"33.828289, -117.201666",33.828289,-117.201666
0258-NOKBL,1,United States,California,Fortuna,95540,"40.584991, -124.121504",40.584991,-124.121504
0259-GBZSH,1,United States,California,San Diego,92122,"32.85723, -117.209774",32.85723,-117.209774
0260-ZDLGK,1,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532
0263-FJTQO,1,United States,California,Rescue,95672,"38.724322, -120.991237",38.724322,-120.991237
0264-CNITK,1,United States,California,Clio,96106,"39.745805, -120.580882",39.745805,-120.580882
0265-EDXBD,1,United States,California,San Diego,92122,"32.85723, -117.209757",32.85723,-117.209774
0265-PSUAE,1,United States,California,Lotus,95651,"38.815515, -120.916997",38.815515,-120.916997
0266-CLZKZ,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.119028,-117.166036
0266-GMEAO,1,United States,California,Lompoc,93436,"34.601055, -120.382917",34.601055,-120.382917
0268-QKIWO,1,United States,California,Pilot Hill,95664,"38.803731, -121.043799",38.803731,-121.043799
0269-XFESX,1,United States,California,San Francisco,94133,"37.802071, -122.411004",37.802071,-122.411004
0270-THENM,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744
0274-JKUJR,1,United States,California,Los Angeles,90040,"33.994524, -118.149953",33.994524,-118.149953
0277-BKSQP,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237
0277-ORXQS,1,United States,California,San Francisco,94108,"37.791998, -122.408653",37.791998,-122.408653
0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293
0281-CNTZX,1,United States,California,Pescadero,94060,"37.22565, -122.297533",37.22565,-122.297533
0282-NVSJS,1,United States,California,Aromas,95004,"36.878364, -121.629781",36.878364,-121.629781
0285-INHLN,1,United States,California,Badger,93603,"36.64545, -118.924982",36.64545,-118.924982
0289-IVARM,1,United States,California,Parlier,93648,"36.622237, -119.521126",36.622237,-119.521126
0292-WEGCH,1,United States,California,Death Valley,92328,"36.27688, -117.033326",36.27688,-117.033326
0295-PPHDO,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436
0295-QVKPB,1,United States,California,Riverdale,93656,"36.452211, -119.94575",36.452211,-119.94575
0297-RBCSG,1,United States,California,San Francisco,94104,"37.791222, -122.402241",37.791222,-122.402241
0298-XACET,1,United States,California,Berry Creek,95916,"39.657228, -121.37778",39.657228,-121.37778
0301-FIDRB,1,United States,California,Fulton,95439,"38.493888, -122.777141",38.493888,-122.777141
0301-KOBTQ,1,United States,California,Capitola,95010,"36.977025, -121.952864",36.977025,-121.952864
0302-JOIVN,1,United States,California,San Diego,92109,"32.787836, -117.232354",32.787836,-117.232376
0303-UNCIP,1,United States,California,Claremont,91711,"34.127621, -117.717863",34.127621,-117.717863
0303-WMMRN,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922
0305-SQECB,1,United States,California,Gardena,90248,"33.876482, -118.284077",33.876482,-118.284077
0306-JAELE,1,United States,California,Fallbrook,92028,"33.362575, -117.299644",33.362575,-117.299644
0307-BCOPK,1,United States,California,San Francisco,94134,"37.721052, -122.413573",37.721052,-122.413573
0308-GIQJT,1,United States,California,San Diego,92126,"32.886925, -117.152162",32.886925,-117.152162
0308-IVGOK,1,United States,California,Santa Ana,92703,"33.748635, -117.906125",33.748635,-117.906125
0310-MVLET,1,United States,California,Snelling,95369,"37.521708, -120.426843",37.521708,-120.426843
0310-SUCIN,1,United States,California,Darwin,93522,"36.319181, -117.593053",36.319181,-117.593053
0310-VQXAM,1,United States,California,San Bernardino,92404,"34.183286, -117.221722",34.183286,-117.221722
0311-QYWSS,1,United States,California,Garberville,95542,"40.057784, -123.679461",40.057784,-123.679461
0311-UNPFF,1,United States,California,Long Beach,90807,"33.830099, -118.182239",33.830099,-118.182239
0314-TKOSI,1,United States,California,Upland,91784,"34.141146, -117.655583",34.141146,-117.655583
