Customer ID,Count,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
0002-ORFBO,1,Q3,3,Stayed,No,0,65,2205,,
0003-MKNFE,1,Q3,5,Stayed,No,0,66,5414,,
0004-TLHLJ,1,Q3,1,Churned,Yes,1,71,4479,Competitor,Competitor had better devices
0011-IGKFF,1,Q3,1,Churned,Yes,1,91,3714,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,1,Q3,1,Churned,Yes,1,68,3464,Dissatisfaction,Network reliability
0013-MHZWF,1,Q3,3,Stayed,No,0,55,5108,,
0013-SMEOE,1,Q3,3,Stayed,No,0,26,5011,,
0014-BMAQU,1,Q3,4,Stayed,No,0,49,4604,,
0015-UOCOJ,1,Q3,3,Stayed,No,0,34,5525,,
0016-QLJIS,1,Q3,3,Stayed,No,0,25,5509,,
0017-DINOC,1,Q3,4,Stayed,No,0,54,5435,,
0017-IUDMW,1,Q3,3,Stayed,No,0,52,6252,,
0018-NYROU,1,Q3,3,Stayed,No,0,57,5536,,
0019-EFAEP,1,Q3,3,Stayed,No,0,53,5513,,
0019-GFNTW,1,Q3,3,Stayed,No,0,37,5795,,
0020-INWCK,1,Q3,5,Stayed,No,0,26,4865,,
0020-JDNXP,1,Q3,4,Stayed,No,0,37,3607,,
0021-IKXGC,1,Q3,4,Joined,No,0,50,4432,,
0022-TCJCI,1,Q3,1,Churned,Yes,1,92,2654,Dissatisfaction,Limited range of services
0023-HGHWL,1,Q3,3,Churned,Yes,1,85,5437,Competitor,Competitor made better offer
0023-UYUPN,1,Q3,3,Stayed,No,0,61,4015,,
0023-XUOPT,1,Q3,1,Churned,Yes,1,75,2973,Other,Don't know
0027-KWYKW,1,Q3,4,Stayed,No,0,78,3585,,
0030-FNXPP,1,Q3,4,Joined,No,0,59,5634,,
0031-PVLZI,1,Q3,1,Churned,Yes,1,81,4133,Price,Long distance charges
0032-PGELS,1,Q3,1,Churned,Yes,1,74,5171,Attitude,Attitude of service provider
0036-IHMOT,1,Q3,3,Stayed,No,0,65,5892,,
0040-HALCW,1,Q3,4,Stayed,No,0,60,6393,,
0042-JVWOJ,1,Q3,4,Stayed,No,0,26,3722,,
0042-RLHYP,1,Q3,5,Stayed,No,0,76,4131,,
0048-LUMLS,1,Q3,5,Stayed,No,0,55,5263,,
0048-PIHNL,1,Q3,3,Stayed,No,0,20,6061,,
0052-DCKON,1,Q3,3,Stayed,No,0,42,5845,,
0052-YNYOT,1,Q3,5,Stayed,No,0,72,5462,,
0056-EPFBG,1,Q3,3,Stayed,No,0,29,3899,,
0057-QBUQH,1,Q3,4,Stayed,No,0,59,4797,,
0058-EVZWM,1,Q3,3,Stayed,No,0,42,5875,,
0060-FUALY,1,Q3,3,Stayed,No,0,26,5238,,
0064-SUDOG,1,Q3,5,Stayed,No,0,57,5190,,
0064-YIJGF,1,Q3,3,Stayed,No,0,46,4994,,
0067-DKWBL,1,Q3,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer
0068-FIGTF,1,Q3,3,Stayed,No,0,54,2297,,
0071-NDAFP,1,Q3,3,Stayed,No,0,65,5230,,
0074-HDKDG,1,Q3,3,Stayed,No,0,66,3807,,
0076-LVEPS,1,Q3,4,Stayed,No,0,73,3290,,
0078-XZMHT,1,Q3,3,Stayed,No,0,76,6322,,
0080-EMYVY,1,Q3,3,Stayed,No,0,57,4298,,
0080-OROZO,1,Q3,3,Stayed,No,0,36,3244,,
0082-LDZUE,1,Q3,5,Joined,No,0,57,4427,,
0082-OQIQY,1,Q3,5,Stayed,No,0,60,4561,,
0083-PIVIK,1,Q3,3,Stayed,No,0,67,4761,,
0089-IIQKO,1,Q3,3,Stayed,No,0,43,4447,,
0093-EXYQL,1,Q3,3,Stayed,No,0,59,5742,,
0093-XWZFY,1,Q3,1,Churned,Yes,1,93,2832,Competitor,Competitor had better devices
0094-OIFMO,1,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction
0096-BXERS,1,Q3,3,Stayed,No,0,74,3442,,
0096-FCPUF,1,Q3,3,Stayed,No,0,48,5039,,
0098-BOWSO,1,Q3,5,Stayed,No,0,39,3792,,
0100-DUVFC,1,Q3,5,Stayed,No,0,57,5291,,
0103-CSITQ,1,Q3,5,Stayed,No,0,65,6026,,
0104-PPXDV,1,Q3,5,Stayed,No,0,30,5232,,
0106-GHRQR,1,Q3,5,Stayed,No,0,39,3360,,
0106-UGRDO,1,Q3,3,Stayed,No,0,37,4216,,
0107-WESLM,1,Q3,2,Churned,Yes,1,66,3874,Attitude,Attitude of support person
0107-YHINA,1,Q3,1,Churned,Yes,1,93,4214,Competitor,Competitor had better devices
0111-KLBQG,1,Q3,5,Stayed,No,0,62,2844,,
0112-QAWRZ,1,Q3,3,Stayed,No,0,66,5560,,
0112-QWPNC,1,Q3,2,Churned,Yes,1,73,6452,Competitor,Competitor offered higher download speeds
0114-IGABW,1,Q3,5,Stayed,No,0,76,5224,,
0114-PEGZZ,1,Q3,3,Stayed,No,0,33,4800,,
0114-RSRRW,1,Q3,4,Stayed,No,0,54,3831,,
0115-TFERT,1,Q3,3,Churned,Yes,1,89,4123,Attitude,Attitude of service provider
0117-LFRMW,1,Q3,2,Churned,Yes,1,80,3627,Competitor,Competitor offered more data
0118-JPNOY,1,Q3,3,Stayed,No,0,46,5700,,
0121-SNYRK,1,Q3,3,Stayed,No,0,36,5052,,
0122-OAHPZ,1,Q3,3,Churned,Yes,1,67,2473,Competitor,Competitor made better offer
0123-CRBRT,1,Q3,4,Stayed,No,0,40,5152,,
0125-LZQXK,1,Q3,2,Churned,Yes,1,91,3025,Attitude,Attitude of service provider
0128-MKWSG,1,Q3,4,Stayed,No,0,45,3287,,
0129-KPTWJ,1,Q3,3,Stayed,No,0,20,5943,,
0129-QMPDR,1,Q3,3,Stayed,No,0,59,3093,,
0130-SXOUN,1,Q3,3,Stayed,No,0,49,4889,,
0133-BMFZO,1,Q3,2,Churned,Yes,1,94,3529,Competitor,Competitor offered higher download speeds
0134-XWXCE,1,Q3,5,Stayed,No,0,71,3253,,
0135-NMXAP,1,Q3,3,Churned,Yes,1,90,5671,Attitude,Attitude of support person
0136-IFMYD,1,Q3,5,Stayed,No,0,63,4297,,
0137-OCGAB,1,Q3,3,Churned,Yes,1,90,3056,Price,Lack of affordable download/upload speed
0137-UDEUO,1,Q3,1,Churned,Yes,1,95,3398,Price,Long distance charges
0139-IVFJG,1,Q3,3,Joined,No,0,29,5361,,
0141-YEAYS,1,Q3,4,Stayed,No,0,77,5990,,
0142-GVYSN,1,Q3,5,Stayed,No,0,68,5712,,
0147-ESWWR,1,Q3,4,Stayed,No,0,77,3172,,
0148-DCDOS,1,Q3,1,Churned,Yes,1,82,5641,Competitor,Competitor had better devices
0151-ONTOV,1,Q3,1,Churned,Yes,1,78,4739,Competitor,Competitor had better devices
0156-FVPTA,1,Q3,2,Churned,Yes,1,87,5102,Attitude,Attitude of service provider
0164-APGRB,1,Q3,4,Stayed,No,0,69,4589,,
0164-XAIRP,1,Q3,5,Stayed,No,0,34,2511,,
0168-XZKBB,1,Q3,5,Stayed,No,0,64,5072,,
0174-QRVVY,1,Q3,5,Stayed,No,0,68,5747,,
0177-PXBAT,1,Q3,3,Stayed,No,0,59,5655,,
0178-CIIKR,1,Q3,3,Joined,No,0,74,5949,,
0178-SZBHO,1,Q3,3,Stayed,No,0,76,3760,,
0181-RITDD,1,Q3,4,Stayed,No,0,43,5298,,
0186-CAERR,1,Q3,4,Stayed,No,0,59,4644,,
0187-QSXOE,1,Q3,4,Stayed,No,0,36,5711,,
0187-WZNAB,1,Q3,3,Stayed,No,0,57,4331,,
0188-GWFLE,1,Q3,3,Joined,No,0,59,4978,,
0191-EQUUH,1,Q3,4,Stayed,No,0,69,2754,,
0191-ZHSKZ,1,Q3,4,Stayed,No,0,55,3033,,
0193-ESZXP,1,Q3,1,Churned,Yes,1,91,5067,Attitude,Attitude of support person
0195-IESCP,1,Q3,3,Churned,Yes,1,75,3573,Competitor,Competitor offered more data
0196-JTUQI,1,Q3,5,Stayed,No,0,68,5841,,
0196-VULGZ,1,Q3,3,Churned,Yes,1,77,5721,Other,Deceased
0197-PNKNK,1,Q3,3,Stayed,No,0,49,5629,,
0201-MIBOL,1,Q3,3,Stayed,No,0,69,4861,,
0201-OAMXR,1,Q3,1,Churned,Yes,1,87,4838,Dissatisfaction,Network reliability
0203-HHYIJ,1,Q3,3,Churned,Yes,1,79,3779,Price,Long distance charges
0206-OYVOC,1,Q3,5,Stayed,No,0,77,5596,,
0206-TBWLC,1,Q3,4,Stayed,No,0,67,4488,,
0207-MDKNV,1,Q3,1,Churned,Yes,1,84,2122,Competitor,Competitor made better offer
0208-BPQEJ,1,Q3,3,Stayed,No,0,29,3713,,
0212-ISBBF,1,Q3,3,Stayed,No,0,73,2875,,
0214-JHPFW,1,Q3,4,Stayed,No,0,42,5640,,
0215-BQKGS,1,Q3,4,Stayed,No,0,66,5393,,
0218-QNVAS,1,Q3,5,Stayed,No,0,37,5876,,
0219-QAERP,1,Q3,5,Stayed,No,0,74,4006,,
0219-YTZUE,1,Q3,3,Churned,Yes,1,73,4939,Competitor,Competitor made better offer
0220-EBGCE,1,Q3,1,Churned,Yes,1,67,3273,Competitor,Competitor made better offer
0221-NAUXK,1,Q3,5,Stayed,No,0,48,3044,,
0221-WMXNQ,1,Q3,3,Stayed,No,0,40,4033,,
0222-CNVPT,1,Q3,3,Stayed,No,0,67,4865,,
0224-HJAPT,1,Q3,2,Churned,Yes,1,82,2857,Competitor,Competitor made better offer
0224-NIJLP,1,Q3,4,Stayed,No,0,32,3899,,
0224-RLWWD,1,Q3,3,Joined,No,0,44,3805,,
0225-ZORZP,1,Q3,5,Joined,No,0,43,5828,,
0228-MAUWC,1,Q3,4,Stayed,No,0,39,3949,,
0229-LFJAF,1,Q3,5,Stayed,No,0,32,4262,,
0230-UBYPQ,1,Q3,3,Stayed,No,0,48,5089,,
0230-WEQUW,1,Q3,4,Stayed,No,0,77,5500,,
0231-LXVAP,1,Q3,3,Churned,Yes,1,66,3389,Competitor,Competitor made better offer
0233-FTHAV,1,Q3,3,Stayed,No,0,49,5687,,
0234-TEVTT,1,Q3,3,Stayed,No,0,21,5269,,
0235-KGSLC,1,Q3,2,Churned,Yes,1,86,3967,Other,Moved
0236-HFWSV,1,Q3,1,Churned,Yes,1,77,5264,Competitor,Competitor had better devices
0237-YFUTL,1,Q3,3,Stayed,No,0,21,4676,,
0238-WHBIQ,1,Q3,3,Stayed,No,0,50,4193,,
0239-OXEXL,1,Q3,4,Stayed,No,0,49,3509,,
0244-LGNFY,1,Q3,4,Stayed,No,0,75,6342,,
0247-SLUJI,1,Q3,5,Joined,No,0,43,2004,,
0248-IPDFW,1,Q3,4,Joined,No,0,57,5617,,
0248-PGHBZ,1,Q3,4,Stayed,No,0,80,5857,,
0253-ZTEOB,1,Q3,4,Stayed,No,0,50,3246,,
0254-FNMCI,1,Q3,4,Stayed,No,0,37,5234,,
0254-KCJGT,1,Q3,4,Stayed,No,0,64,4628,,
0254-WWRKD,1,Q3,5,Stayed,No,0,51,5122,,
0256-LTHVJ,1,Q3,1,Churned,Yes,1,91,5201,Competitor,Competitor had better devices
0257-KXZGU,1,Q3,3,Stayed,No,0,74,5442,,
0257-ZESQC,1,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person
0258-NOKBL,1,Q3,5,Joined,No,0,61,5625,,
0259-GBZSH,1,Q3,1,Churned,Yes,1,73,3878,Competitor,Competitor made better offer
0260-ZDLGK,1,Q3,1,Churned,Yes,1,65,3585,Competitor,Competitor made better offer
0263-FJTQO,1,Q3,4,Stayed,No,0,60,4022,,
0264-CNITK,1,Q3,3,Stayed,No,0,23,5043,,
0265-EDXBD,1,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person
0265-PSUAE,1,Q3,4,Stayed,No,0,72,3337,,
0266-CLZKZ,1,Q3,5,Stayed,No,0,59,6383,,
0266-GMEAO,1,Q3,3,Stayed,No,0,70,5879,,
0268-QKIWO,1,Q3,3,Churned,Yes,1,83,2647,Attitude,Attitude of support person
0269-XFESX,1,Q3,5,Stayed,No,0,30,4031,,
0270-THENM,1,Q3,3,Stayed,No,0,77,6233,,
0274-JKUJR,1,Q3,3,Stayed,No,0,76,3332,,
0277-BKSQP,1,Q3,4,Stayed,No,0,62,4854,,
0277-ORXQS,1,Q3,4,Stayed,No,0,30,4652,,
0278-YXOOG,1,Q3,3,Churned,Yes,1,66,2604,Attitude,Attitude of support person
0280-XJGEX,1,Q3,1,Churned,Yes,1,89,5340,Competitor,Competitor had better devices
0281-CNTZX,1,Q3,3,Stayed,No,0,74,5151,,
0282-NVSJS,1,Q3,4,Stayed,No,0,75,3353,,
0285-INHLN,1,Q3,3,Stayed,No,0,41,3519,,
0289-IVARM,1,Q3,4,Stayed,No,0,34,3463,,
0292-WEGCH,1,Q3,3,Stayed,No,0,45,6275,,
0295-PPHDO,1,Q3,1,Churned,Yes,1,71,5962,Competitor,Competitor had better devices
0295-QVKPB,1,Q3,4,Stayed,No,0,42,3099,,
0297-RBCSG,1,Q3,4,Stayed,No,0,39,2051,,
0298-XACET,1,Q3,4,Stayed,No,0,47,5396,,
0301-FIDRB,1,Q3,4,Stayed,No,0,32,6107,,
0301-KOBTQ,1,Q3,5,Stayed,No,0,20,3398,,
0302-JOIVN,1,Q3,2,Churned,Yes,1,76,2750,Competitor,Competitor made better offer
0303-UNCIP,1,Q3,4,Stayed,No,0,57,5043,,
0303-WMMRN,1,Q3,3,Stayed,No,0,27,3056,,
